category,job_type,job_offer_id
law jobs,"Permanent, full-time",441
law jobs,"Permanent, full-time",442
retail jobs,"Permanent, full-time",443
motoring automotive jobs,"Permanent, full-time",444
catering jobs,"Permanent, full-time",445
retail jobs,"Permanent, full-time",446
motoring automotive jobs,"Permanent, full-time",447
retail jobs,"Permanent, full-time",448
law jobs,"Permanent, full-time",449
retail jobs,"Permanent, full-time",450
retail jobs,"Permanent, full-time",451
law jobs,"Permanent, full-time",452
catering jobs,"Permanent, full-time",453
factory jobs,"Temporary, full-time",454
motoring automotive jobs,"Permanent, full-time",455
factory jobs,"Permanent, full-time",456
motoring automotive jobs,"Permanent, full-time",457
motoring automotive jobs,"Permanent, full-time",458
catering jobs,"Permanent, full-time",459
catering jobs,"Permanent, full-time",460
motoring automotive jobs,"Permanent, full-time",461
retail jobs,"Permanent, full-time",462
motoring automotive jobs,"Permanent, full-time",463
factory jobs,"Permanent, full-time",464
motoring automotive jobs,"Permanent, full-time",465
law jobs,"Permanent, full-time",466
catering jobs,"Temporary, part-time",467
law jobs,"Permanent, full-time",468
hr jobs,"Permanent, full-time",469
motoring automotive jobs,"Permanent, full-time",470
hr jobs,"Permanent, full-time",471
law jobs,"Permanent, full-time",472
law jobs,"Permanent, full-time",473
motoring automotive jobs,"Permanent, full-time",474
motoring automotive jobs,"Permanent, full-time",475
motoring automotive jobs,"Permanent, full-time",476
catering jobs,"Permanent, full-time",477
motoring automotive jobs,"Permanent, full-time",478
law jobs,"Permanent, full-time",479
law jobs,"Permanent, full-time",480
hr jobs,"Contract, full-time",481
marketing jobs,"Permanent, full-time",482
hr jobs,"Permanent, full-time",483
catering jobs,"Permanent, full-time",484
motoring automotive jobs,"Permanent, full-time",485
factory jobs,"Temporary, full-time",486
retail jobs,"Permanent, part-time",487
law jobs,"Permanent, full-time",488
factory jobs,"Permanent, full-time",489
retail jobs,"Permanent, full-time",490
factory jobs,"Permanent, full-time",491
law jobs,"Permanent, full-time",492
retail jobs,"Permanent, full-time",493
hr jobs,"Permanent, full-time",494
retail jobs,"Permanent, full-time",495
catering jobs,"Permanent, full-time",496
factory jobs,"Permanent, full-time",497
retail jobs,"Contract, part-time",498
hr jobs,"Contract, full-time",499
catering jobs,"Permanent, full-time",500
hr jobs,"Temporary, full-time",501
factory jobs,"Permanent, full-time",502
law jobs,"Permanent, full-time",503
catering jobs,"Contract, full-time",504
law jobs,"Permanent, full-time",505
motoring automotive jobs,"Permanent, full-time",506
retail jobs,"Permanent, full-time",507
motoring automotive jobs,"Permanent, full-time",508
factory jobs,"Permanent, full-time",509
estate agent jobs,"Permanent, full-time",510
retail jobs,"Permanent, full-time",511
catering jobs,"Permanent, full-time",512
retail jobs,"Temporary, part-time",513
hr jobs,"Temporary, full-time",514
law jobs,"Permanent, full-time",515
retail jobs,"Permanent, full-time",516
motoring automotive jobs,"Permanent, full-time",517
hr jobs,"Permanent, full-time",518
motoring automotive jobs,"Permanent, full-time",519
motoring automotive jobs,"Temporary, full-time",520
catering jobs,"Permanent, full-time or part-time",521
catering jobs,"Permanent, full-time",522
factory jobs,"Temporary, full-time",523
motoring automotive jobs,"Permanent, full-time",524
retail jobs,"Permanent, full-time",525
catering jobs,"Temporary, full-time",526
retail jobs,"Permanent, full-time",527
law jobs,"Permanent, full-time",528
catering jobs,"Permanent, full-time",529
law jobs,"Permanent, full-time",530
retail jobs,"Permanent, full-time",531
hr jobs,"Permanent, full-time",532
law jobs,"Permanent, full-time",533
retail jobs,"Permanent, full-time",534
motoring automotive jobs,"Permanent, full-time",535
law jobs,"Permanent, full-time",536
motoring automotive jobs,"Permanent, full-time",537
catering jobs,"Permanent, full-time",538
motoring automotive jobs,"Permanent, full-time",539
factory jobs,"Permanent, full-time",540
law jobs,"Permanent, full-time",541
catering jobs,"Permanent, full-time",542
law jobs,"Permanent, full-time",543
motoring automotive jobs,"Permanent, full-time",544
factory jobs,"Temporary, part-time",545
retail jobs,"Temporary, full-time",546
retail jobs,"Permanent, full-time",547
factory jobs,"Permanent, full-time",548
motoring automotive jobs,"Permanent, full-time",549
retail jobs,"Permanent, part-time",550
marketing jobs,"Permanent, full-time",551
retail jobs,"Permanent, full-time",552
motoring automotive jobs,"Permanent, full-time",553
law jobs,"Permanent, full-time",554
motoring automotive jobs,"Permanent, full-time",555
catering jobs,"Permanent, full-time",556
motoring automotive jobs,"Temporary, full-time",557
retail jobs,"Permanent, full-time",558
law jobs,"Permanent, full-time",559
law jobs,"Permanent, full-time",560
law jobs,"Permanent, full-time",561
hr jobs,"Temporary, full-time",562
retail jobs,"Contract, full-time",563
retail jobs,"Permanent, full-time",564
law jobs,"Permanent, full-time",565
factory jobs,"Permanent, full-time",566
retail jobs,"Permanent, full-time",567
retail jobs,"Permanent, full-time",568
law jobs,"Permanent, full-time",569
catering jobs,"Permanent, full-time",570
law jobs,"Permanent, full-time",571
retail jobs,"Permanent, full-time",572
hr jobs,"Contract, full-time or part-time",573
factory jobs,"Permanent, full-time",574
catering jobs,"Contract, full-time",575
catering jobs,"Permanent, full-time",576
catering jobs,"Permanent, full-time",577
catering jobs,"Permanent, full-time",578
hr jobs,"Contract, full-time",579
catering jobs,"Permanent, full-time",580
retail jobs,"Permanent, full-time",581
